epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4077,1.39321,2.92697,1.74153,0.00362,0.53901,0.05789,0.01682,2.11373,3.26905,2.2452,0.000540649,0.000540649,0.000540649
2,20.9498,1.41245,2.44345,1.70632,0.16839,0.15682,0.0588,0.01345,2.45075,3.56798,2.95621,0.00107461,0.00107461,0.00107461
3,25.1332,1.53447,2.48212,1.8356,0.09344,0.15918,0.04544,0.01594,2.85601,13.8611,3.59421,0.00158656,0.00158656,0.00158656
4,29.2521,1.50539,2.30922,1.81086,0.25438,0.13002,0.10907,0.03784,2.41178,3.49769,2.72292,0.00156798,0.00156798,0.00156798
5,33.4125,1.47814,2.1418,1.75489,0.25192,0.12727,0.12076,0.0371,2.19072,3.32258,2.37114,0.00153497,0.00153497,0.00153497
6,37.5255,1.51036,2.07058,1.77154,0.40737,0.27896,0.18272,0.05471,2.33782,3.7325,2.42493,0.00150197,0.00150197,0.00150197
7,41.6177,1.47543,2.11466,1.76078,0.14247,0.20725,0.08844,0.0317,2.31264,3.06399,2.35022,0.00146896,0.00146896,0.00146896
8,45.6947,1.4471,2.00733,1.714,0.20209,0.2041,0.15112,0.05528,2.11593,2.9389,2.21873,0.00143595,0.00143595,0.00143595
9,49.8599,1.43803,1.91312,1.71504,0.16919,0.15918,0.10111,0.03712,2.05273,2.81485,2.30058,0.00140295,0.00140295,0.00140295
10,53.9241,1.42133,1.94869,1.71208,0.11705,0.29669,0.1055,0.03182,2.11299,3.58564,2.37068,0.00136994,0.00136994,0.00136994
11,58.0213,1.39499,1.90431,1.68232,0.26295,0.17494,0.11973,0.03823,2.14936,3.05675,2.37108,0.00133693,0.00133693,0.00133693
12,62.238,1.4093,1.8682,1.70237,0.22067,0.19044,0.15651,0.05039,2.16766,2.69837,2.31277,0.00130393,0.00130393,0.00130393
13,66.38,1.34364,1.85369,1.66265,0.25201,0.14854,0.14272,0.05358,2.08589,2.87799,2.22462,0.00127092,0.00127092,0.00127092
14,70.4719,1.37566,1.7801,1.66546,0.21198,0.35303,0.21818,0.07344,2.02105,2.57434,2.12756,0.00123791,0.00123791,0.00123791
15,74.9165,1.31384,1.73675,1.63143,0.27221,0.25902,0.17933,0.06504,2.02541,2.78899,2.2161,0.00120491,0.00120491,0.00120491
16,78.9699,1.37733,1.81314,1.65578,0.3107,0.31048,0.21585,0.08493,2.10152,2.50426,2.21029,0.0011719,0.0011719,0.0011719
17,83.0188,1.29093,1.67583,1.59516,0.22581,0.24429,0.17562,0.07356,2.06446,2.64737,2.14352,0.00113889,0.00113889,0.00113889
18,87.0441,1.32727,1.68698,1.61026,0.32252,0.26005,0.24607,0.11151,1.9647,2.45458,2.10526,0.00110589,0.00110589,0.00110589
19,91.1332,1.30206,1.63258,1.60616,0.33433,0.21001,0.17178,0.06478,2.12697,2.64944,2.29959,0.00107288,0.00107288,0.00107288
20,95.1752,1.30559,1.67857,1.60779,0.21263,0.25217,0.19685,0.07177,2.08279,2.66424,2.19475,0.00103987,0.00103987,0.00103987
21,99.2053,1.25722,1.60689,1.56845,0.33928,0.18834,0.21271,0.11604,2.03494,2.53579,2.13353,0.00100687,0.00100687,0.00100687
22,103.27,1.29349,1.58481,1.58725,0.31513,0.27069,0.212,0.08616,1.98464,2.50491,2.12979,0.000973861,0.000973861,0.000973861
23,107.325,1.25156,1.59817,1.56875,0.24547,0.34515,0.20852,0.07466,1.98998,2.5267,2.11246,0.000940855,0.000940855,0.000940855
24,111.37,1.28178,1.56661,1.60035,0.2681,0.23877,0.19812,0.07186,2.03963,2.53302,2.10943,0.000907848,0.000907848,0.000907848
25,115.417,1.28439,1.55569,1.59082,0.22264,0.3026,0.17356,0.07466,2.04264,2.60244,2.15782,0.000874842,0.000874842,0.000874842
26,119.535,1.20685,1.49936,1.54694,0.24918,0.33174,0.1837,0.07855,2.00083,2.58649,2.1066,0.000841835,0.000841835,0.000841835
27,123.69,1.23413,1.50394,1.5449,0.30452,0.35816,0.24713,0.09661,1.93885,2.47449,2.17951,0.000808828,0.000808828,0.000808828
28,127.753,1.20892,1.51463,1.53132,0.34072,0.31048,0.22114,0.0897,1.8229,2.49305,1.99204,0.000775822,0.000775822,0.000775822
29,131.938,1.17977,1.47465,1.50899,0.3492,0.2892,0.27247,0.10844,1.89018,2.49253,2.0908,0.000742815,0.000742815,0.000742815
30,135.978,1.15858,1.45745,1.503,0.31967,0.28132,0.21178,0.08663,1.97401,2.61184,2.06434,0.000709809,0.000709809,0.000709809
